image_path,label
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010863_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000378_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000358_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015625_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014666_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014772_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016059_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013242_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000026_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016062_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010267_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013972_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000353_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015962_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015220_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014541_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010364_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014542_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011210_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000533_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000445_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015988_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015368_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000203_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012998_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011315_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011121_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015975_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000109_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000105_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015395_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015979_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015949_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000220_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013073_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000275_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014077_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0015041_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012851_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015957_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015468_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000081_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016025_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000260_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013497_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0013059_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010852_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013777_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000368_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000119_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013874_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013615_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000172_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011366_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000150_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000143_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014862_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000125_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013525_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012291_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000388_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000219_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000125_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000043_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014238_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000045_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000236_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010358_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014027_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013783_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013840_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000020_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000369_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014454_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0001105_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016012_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015997_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000513_seg_270.jpg,1
